source_id,song_id,section,section_type,section_index,start_time,end_time,genre,mood,instruments,energy,narrative_role,license,description
10152023_-_028_-__FREE__Jaydayoungan_Type_Beat__Overtime____Prod._GD_Beats__gd_seg005,"10152023 - 028 - [FREE] Jaydayoungan Type Beat ""Overtime"" | Prod. GD Beats (@gd.beats)",verse,verse,6,150.0,180.0,trap,dark|atmospheric,808 bass|trap hi-hats,0.60,narrative build,owned,"verse, 83 BPM, C major, dark trap beat, 808 bass|trap hi-hats, medium energy"
10152023_-_028_-__FREE__Jaydayoungan_Type_Beat__Overtime____Prod._GD_Beats__gd_seg006,"10152023 - 028 - [FREE] Jaydayoungan Type Beat ""Overtime"" | Prod. GD Beats (@gd.beats)",outro,outro,7,180.0,210.0,trap,dark|atmospheric,808 bass|trap hi-hats,0.25,closing,owned,"outro, 83 BPM, C major, dark trap beat, 808 bass|trap hi-hats, low energy"
10152023_-_029_-__FREE__Kodak_Black_Type_Beat_-__Dreams_Come_True_seg000,"10152023 - 029 - (FREE) Kodak Black Type Beat - ""Dreams Come True""",intro,intro,1,0.0,30.0,melodic trap,emotional|reflective,808 bass|bells|trap hi-hats,0.30,sparse opening,owned,"intro, 117 BPM, D# major, emotional melodic trap beat, 808 bass|bells|trap hi-hats, low energy"
10152023_-_029_-__FREE__Kodak_Black_Type_Beat_-__Dreams_Come_True_seg001,"10152023 - 029 - (FREE) Kodak Black Type Beat - ""Dreams Come True""",verse,verse,2,30.0,60.0,melodic trap,emotional|reflective,808 bass|bells|trap hi-hats,0.60,narrative build,owned,"verse, 117 BPM, D# major, emotional melodic trap beat, 808 bass|bells|trap hi-hats, medium energy"
10152023_-_029_-__FREE__Kodak_Black_Type_Beat_-__Dreams_Come_True_seg002,"10152023 - 029 - (FREE) Kodak Black Type Beat - ""Dreams Come True""",hook,hook,3,60.0,90.0,melodic trap,emotional|reflective,808 bass|bells|trap hi-hats,0.90,central hook,owned,"hook, 117 BPM, D# major, emotional melodic trap beat, 808 bass|bells|trap hi-hats, high energy"
10152023_-_029_-__FREE__Kodak_Black_Type_Beat_-__Dreams_Come_True_seg003,"10152023 - 029 - (FREE) Kodak Black Type Beat - ""Dreams Come True""",verse,verse,4,90.0,120.0,melodic trap,emotional|reflective,808 bass|bells|trap hi-hats,0.60,narrative build,owned,"verse, 117 BPM, D# major, emotional melodic trap beat, 808 bass|bells|trap hi-hats, medium energy"
10152023_-_029_-__FREE__Kodak_Black_Type_Beat_-__Dreams_Come_True_seg004,"10152023 - 029 - (FREE) Kodak Black Type Beat - ""Dreams Come True""",hook,hook,5,120.0,150.0,melodic trap,emotional|reflective,808 bass|bells|trap hi-hats,0.90,central hook,owned,"hook, 117 BPM, D# major, emotional melodic trap beat, 808 bass|bells|trap hi-hats, high energy"
10152023_-_029_-__FREE__Kodak_Black_Type_Beat_-__Dreams_Come_True_seg005,"10152023 - 029 - (FREE) Kodak Black Type Beat - ""Dreams Come True""",verse,verse,6,150.0,180.0,melodic trap,emotional|reflective,808 bass|bells|trap hi-hats,0.60,narrative build,owned,"verse, 117 BPM, D# major, emotional melodic trap beat, 808 bass|bells|trap hi-hats, medium energy"
10152023_-_029_-__FREE__Kodak_Black_Type_Beat_-__Dreams_Come_True_seg006,"10152023 - 029 - (FREE) Kodak Black Type Beat - ""Dreams Come True""",bridge,bridge,7,180.0,210.0,melodic trap,emotional|reflective,808 bass|bells|trap hi-hats,0.50,transition,owned,"bridge, 117 BPM, D# major, emotional melodic trap beat, 808 bass|bells|trap hi-hats, medium energy"
10152023_-_029_-__FREE__Kodak_Black_Type_Beat_-__Dreams_Come_True_seg007,"10152023 - 029 - (FREE) Kodak Black Type Beat - ""Dreams Come True""",outro,outro,8,210.0,240.0,melodic trap,emotional|reflective,808 bass|bells|trap hi-hats,0.25,closing,owned,"outro, 117 BPM, D# major, emotional melodic trap beat, 808 bass|bells|trap hi-hats, low energy"
10152023_-_030_-__FREE__Gunna_x_Young_Thug_Type_Beat__Rolex_seg000,"10152023 - 030 - (FREE) Gunna x Young Thug Type Beat ""Rolex""",intro,intro,1,0.0,30.0,trap,aggressive|dark,808 bass|trap hi-hats|piano,0.30,sparse opening,owned,"intro, 77 BPM, F minor, aggressive trap beat, 808 bass|trap hi-hats|piano, low energy"
10152023_-_030_-__FREE__Gunna_x_Young_Thug_Type_Beat__Rolex_seg001,"10152023 - 030 - (FREE) Gunna x Young Thug Type Beat ""Rolex""",verse,verse,2,30.0,60.0,trap,aggressive|dark,808 bass|trap hi-hats|piano,0.60,narrative build,owned,"verse, 77 BPM, F minor, aggressive trap beat, 808 bass|trap hi-hats|piano, medium energy"
10152023_-_030_-__FREE__Gunna_x_Young_Thug_Type_Beat__Rolex_seg002,"10152023 - 030 - (FREE) Gunna x Young Thug Type Beat ""Rolex""",hook,hook,3,60.0,90.0,trap,aggressive|dark,808 bass|trap hi-hats|piano,0.90,central hook,owned,"hook, 77 BPM, F minor, aggressive trap beat, 808 bass|trap hi-hats|piano, high energy"
10152023_-_030_-__FREE__Gunna_x_Young_Thug_Type_Beat__Rolex_seg003,"10152023 - 030 - (FREE) Gunna x Young Thug Type Beat ""Rolex""",verse,verse,4,90.0,120.0,trap,aggressive|dark,808 bass|trap hi-hats|piano,0.60,narrative build,owned,"verse, 77 BPM, F minor, aggressive trap beat, 808 bass|trap hi-hats|piano, medium energy"
10152023_-_030_-__FREE__Gunna_x_Young_Thug_Type_Beat__Rolex_seg004,"10152023 - 030 - (FREE) Gunna x Young Thug Type Beat ""Rolex""",hook,hook,5,120.0,150.0,trap,aggressive|dark,808 bass|trap hi-hats|piano,0.90,central hook,owned,"hook, 77 BPM, F minor, aggressive trap beat, 808 bass|trap hi-hats|piano, high energy"
10152023_-_030_-__FREE__Gunna_x_Young_Thug_Type_Beat__Rolex_seg005,"10152023 - 030 - (FREE) Gunna x Young Thug Type Beat ""Rolex""",verse,verse,6,150.0,180.0,trap,aggressive|dark,808 bass|trap hi-hats|piano,0.60,narrative build,owned,"verse, 77 BPM, F minor, aggressive trap beat, 808 bass|trap hi-hats|piano, medium energy"
10152023_-_030_-__FREE__Gunna_x_Young_Thug_Type_Beat__Rolex_seg006,"10152023 - 030 - (FREE) Gunna x Young Thug Type Beat ""Rolex""",outro,outro,7,180.0,210.0,trap,aggressive|dark,808 bass|trap hi-hats|piano,0.25,closing,owned,"outro, 77 BPM, F minor, aggressive trap beat, 808 bass|trap hi-hats|piano, low energy"
10152023_-_031_-__FREE__Gunna_Type_Beat_-_Over_It_seg000,"10152023 - 031 - [FREE] Gunna Type Beat -""Over It""",intro,intro,1,0.0,30.0,trap,dark|atmospheric,808 bass|trap hi-hats,0.30,sparse opening,owned,"intro, 107 BPM, F minor, dark trap beat, 808 bass|trap hi-hats, low energy"
10152023_-_031_-__FREE__Gunna_Type_Beat_-_Over_It_seg001,"10152023 - 031 - [FREE] Gunna Type Beat -""Over It""",verse,verse,2,30.0,60.0,trap,dark|atmospheric,808 bass|trap hi-hats,0.60,narrative build,owned,"verse, 107 BPM, F minor, dark trap beat, 808 bass|trap hi-hats, medium energy"
10152023_-_031_-__FREE__Gunna_Type_Beat_-_Over_It_seg002,"10152023 - 031 - [FREE] Gunna Type Beat -""Over It""",hook,hook,3,60.0,90.0,trap,dark|atmospheric,808 bass|trap hi-hats,0.90,central hook,owned,"hook, 107 BPM, F minor, dark trap beat, 808 bass|trap hi-hats, high energy"
10152023_-_031_-__FREE__Gunna_Type_Beat_-_Over_It_seg003,"10152023 - 031 - [FREE] Gunna Type Beat -""Over It""",verse,verse,4,90.0,120.0,trap,dark|atmospheric,808 bass|trap hi-hats,0.60,narrative build,owned,"verse, 107 BPM, F minor, dark trap beat, 808 bass|trap hi-hats, medium energy"
10152023_-_031_-__FREE__Gunna_Type_Beat_-_Over_It_seg004,"10152023 - 031 - [FREE] Gunna Type Beat -""Over It""",hook,hook,5,120.0,150.0,trap,dark|atmospheric,808 bass|trap hi-hats,0.90,central hook,owned,"hook, 107 BPM, F minor, dark trap beat, 808 bass|trap hi-hats, high energy"
10152023_-_031_-__FREE__Gunna_Type_Beat_-_Over_It_seg005,"10152023 - 031 - [FREE] Gunna Type Beat -""Over It""",verse,verse,6,150.0,180.0,trap,dark|atmospheric,808 bass|trap hi-hats,0.60,narrative build,owned,"verse, 107 BPM, F minor, dark trap beat, 808 bass|trap hi-hats, medium energy"
10152023_-_031_-__FREE__Gunna_Type_Beat_-_Over_It_seg006,"10152023 - 031 - [FREE] Gunna Type Beat -""Over It""",bridge,bridge,7,180.0,210.0,trap,dark|atmospheric,808 bass|trap hi-hats,0.50,transition,owned,"bridge, 107 BPM, F minor, dark trap beat, 808 bass|trap hi-hats, medium energy"
10152023_-_031_-__FREE__Gunna_Type_Beat_-_Over_It_seg007,"10152023 - 031 - [FREE] Gunna Type Beat -""Over It""",outro,outro,8,210.0,240.0,trap,dark|atmospheric,808 bass|trap hi-hats,0.25,closing,owned,"outro, 107 BPM, F minor, dark trap beat, 808 bass|trap hi-hats, low energy"
10152023_-_032_-__SOLD__GUNNA_x_YOUNG_THUG_TYPE_BEAT_-__THE_HILLS_seg000,10152023 - 032 - [SOLD] GUNNA x YOUNG THUG TYPE BEAT - ''THE HILLS'',intro,intro,1,0.0,30.0,trap,aggressive|dark,808 bass|trap hi-hats|piano,0.30,sparse opening,owned,"intro, 114 BPM, F minor, aggressive trap beat, 808 bass|trap hi-hats|piano, low energy"
10152023_-_032_-__SOLD__GUNNA_x_YOUNG_THUG_TYPE_BEAT_-__THE_HILLS_seg001,10152023 - 032 - [SOLD] GUNNA x YOUNG THUG TYPE BEAT - ''THE HILLS'',verse,verse,2,30.0,60.0,trap,aggressive|dark,808 bass|trap hi-hats|piano,0.60,narrative build,owned,"verse, 114 BPM, F minor, aggressive trap beat, 808 bass|trap hi-hats|piano, medium energy"
10152023_-_032_-__SOLD__GUNNA_x_YOUNG_THUG_TYPE_BEAT_-__THE_HILLS_seg002,10152023 - 032 - [SOLD] GUNNA x YOUNG THUG TYPE BEAT - ''THE HILLS'',hook,hook,3,60.0,90.0,trap,aggressive|dark,808 bass|trap hi-hats|piano,0.90,central hook,owned,"hook, 114 BPM, F minor, aggressive trap beat, 808 bass|trap hi-hats|piano, high energy"
10152023_-_032_-__SOLD__GUNNA_x_YOUNG_THUG_TYPE_BEAT_-__THE_HILLS_seg003,10152023 - 032 - [SOLD] GUNNA x YOUNG THUG TYPE BEAT - ''THE HILLS'',verse,verse,4,90.0,120.0,trap,aggressive|dark,808 bass|trap hi-hats|piano,0.60,narrative build,owned,"verse, 114 BPM, F minor, aggressive trap beat, 808 bass|trap hi-hats|piano, medium energy"
10152023_-_032_-__SOLD__GUNNA_x_YOUNG_THUG_TYPE_BEAT_-__THE_HILLS_seg004,10152023 - 032 - [SOLD] GUNNA x YOUNG THUG TYPE BEAT - ''THE HILLS'',hook,hook,5,120.0,150.0,trap,aggressive|dark,808 bass|trap hi-hats|piano,0.90,central hook,owned,"hook, 114 BPM, F minor, aggressive trap beat, 808 bass|trap hi-hats|piano, high energy"
10152023_-_032_-__SOLD__GUNNA_x_YOUNG_THUG_TYPE_BEAT_-__THE_HILLS_seg005,10152023 - 032 - [SOLD] GUNNA x YOUNG THUG TYPE BEAT - ''THE HILLS'',outro,outro,6,150.0,180.0,trap,aggressive|dark,808 bass|trap hi-hats|piano,0.25,closing,owned,"outro, 114 BPM, F minor, aggressive trap beat, 808 bass|trap hi-hats|piano, low energy"
10152023_-_033_-__FREE__Key_Glock_x_Young_Dolph_Type_Beat_2023_-__Don_Julio_seg000,"10152023 - 033 - (FREE) Key Glock x Young Dolph Type Beat 2023 - ""Don Julio""",intro,intro,1,0.0,30.0,trap,dark|atmospheric,808 bass|trap hi-hats,0.30,sparse opening,owned,"intro, 125 BPM, C major, dark trap beat, 808 bass|trap hi-hats, low energy"
10152023_-_033_-__FREE__Key_Glock_x_Young_Dolph_Type_Beat_2023_-__Don_Julio_seg001,"10152023 - 033 - (FREE) Key Glock x Young Dolph Type Beat 2023 - ""Don Julio""",verse,verse,2,30.0,60.0,trap,dark|atmospheric,808 bass|trap hi-hats,0.60,narrative build,owned,"verse, 125 BPM, C major, dark trap beat, 808 bass|trap hi-hats, medium energy"
10152023_-_033_-__FREE__Key_Glock_x_Young_Dolph_Type_Beat_2023_-__Don_Julio_seg002,"10152023 - 033 - (FREE) Key Glock x Young Dolph Type Beat 2023 - ""Don Julio""",hook,hook,3,60.0,90.0,trap,dark|atmospheric,808 bass|trap hi-hats,0.90,central hook,owned,"hook, 125 BPM, C major, dark trap beat, 808 bass|trap hi-hats, high energy"
10152023_-_033_-__FREE__Key_Glock_x_Young_Dolph_Type_Beat_2023_-__Don_Julio_seg003,"10152023 - 033 - (FREE) Key Glock x Young Dolph Type Beat 2023 - ""Don Julio""",verse,verse,4,90.0,120.0,trap,dark|atmospheric,808 bass|trap hi-hats,0.60,narrative build,owned,"verse, 125 BPM, C major, dark trap beat, 808 bass|trap hi-hats, medium energy"
10152023_-_033_-__FREE__Key_Glock_x_Young_Dolph_Type_Beat_2023_-__Don_Julio_seg004,"10152023 - 033 - (FREE) Key Glock x Young Dolph Type Beat 2023 - ""Don Julio""",hook,hook,5,120.0,150.0,trap,dark|atmospheric,808 bass|trap hi-hats,0.90,central hook,owned,"hook, 125 BPM, C major, dark trap beat, 808 bass|trap hi-hats, high energy"
10152023_-_033_-__FREE__Key_Glock_x_Young_Dolph_Type_Beat_2023_-__Don_Julio_seg005,"10152023 - 033 - (FREE) Key Glock x Young Dolph Type Beat 2023 - ""Don Julio""",outro,outro,6,150.0,180.0,trap,dark|atmospheric,808 bass|trap hi-hats,0.25,closing,owned,"outro, 125 BPM, C major, dark trap beat, 808 bass|trap hi-hats, low energy"
10152023_-_034_-_Young_Thug_x_Gunna_Type_Beat_-_High_Fashion_seg000,10152023 - 034 - Young Thug x Gunna Type Beat - High Fashion,intro,intro,1,0.0,30.0,trap,aggressive|dark,808 bass|trap hi-hats|piano,0.30,sparse opening,owned,"intro, 117 BPM, F minor, aggressive trap beat, 808 bass|trap hi-hats|piano, low energy"
10152023_-_034_-_Young_Thug_x_Gunna_Type_Beat_-_High_Fashion_seg001,10152023 - 034 - Young Thug x Gunna Type Beat - High Fashion,verse,verse,2,30.0,60.0,trap,aggressive|dark,808 bass|trap hi-hats|piano,0.60,narrative build,owned,"verse, 117 BPM, F minor, aggressive trap beat, 808 bass|trap hi-hats|piano, medium energy"
10152023_-_034_-_Young_Thug_x_Gunna_Type_Beat_-_High_Fashion_seg002,10152023 - 034 - Young Thug x Gunna Type Beat - High Fashion,hook,hook,3,60.0,90.0,trap,aggressive|dark,808 bass|trap hi-hats|piano,0.90,central hook,owned,"hook, 117 BPM, F minor, aggressive trap beat, 808 bass|trap hi-hats|piano, high energy"
10152023_-_034_-_Young_Thug_x_Gunna_Type_Beat_-_High_Fashion_seg003,10152023 - 034 - Young Thug x Gunna Type Beat - High Fashion,verse,verse,4,90.0,120.0,trap,aggressive|dark,808 bass|trap hi-hats|piano,0.60,narrative build,owned,"verse, 117 BPM, F minor, aggressive trap beat, 808 bass|trap hi-hats|piano, medium energy"
10152023_-_034_-_Young_Thug_x_Gunna_Type_Beat_-_High_Fashion_seg004,10152023 - 034 - Young Thug x Gunna Type Beat - High Fashion,hook,hook,5,120.0,150.0,trap,aggressive|dark,808 bass|trap hi-hats|piano,0.90,central hook,owned,"hook, 117 BPM, F minor, aggressive trap beat, 808 bass|trap hi-hats|piano, high energy"
10152023_-_034_-_Young_Thug_x_Gunna_Type_Beat_-_High_Fashion_seg005,10152023 - 034 - Young Thug x Gunna Type Beat - High Fashion,verse,verse,6,150.0,180.0,trap,aggressive|dark,808 bass|trap hi-hats|piano,0.60,narrative build,owned,"verse, 117 BPM, F minor, aggressive trap beat, 808 bass|trap hi-hats|piano, medium energy"
10152023_-_034_-_Young_Thug_x_Gunna_Type_Beat_-_High_Fashion_seg006,10152023 - 034 - Young Thug x Gunna Type Beat - High Fashion,bridge,bridge,7,180.0,210.0,trap,aggressive|dark,808 bass|trap hi-hats|piano,0.50,transition,owned,"bridge, 117 BPM, F minor, aggressive trap beat, 808 bass|trap hi-hats|piano, medium energy"
10152023_-_034_-_Young_Thug_x_Gunna_Type_Beat_-_High_Fashion_seg007,10152023 - 034 - Young Thug x Gunna Type Beat - High Fashion,outro,outro,8,210.0,240.0,trap,aggressive|dark,808 bass|trap hi-hats|piano,0.25,closing,owned,"outro, 117 BPM, F minor, aggressive trap beat, 808 bass|trap hi-hats|piano, low energy"
10152023_-_037_-__FREE__Gunna_x_Young_Thug_Type_Beat_-__Strapped_seg000,"10152023 - 037 - [FREE] Gunna x Young Thug Type Beat - ""Strapped""",intro,intro,1,0.0,30.0,trap,aggressive|dark,808 bass|trap hi-hats|piano,0.30,sparse opening,owned,"intro, 94 BPM, G major, aggressive trap beat, 808 bass|trap hi-hats|piano, low energy"
10152023_-_037_-__FREE__Gunna_x_Young_Thug_Type_Beat_-__Strapped_seg001,"10152023 - 037 - [FREE] Gunna x Young Thug Type Beat - ""Strapped""",verse,verse,2,30.0,60.0,trap,aggressive|dark,808 bass|trap hi-hats|piano,0.60,narrative build,owned,"verse, 94 BPM, G major, aggressive trap beat, 808 bass|trap hi-hats|piano, medium energy"
10152023_-_037_-__FREE__Gunna_x_Young_Thug_Type_Beat_-__Strapped_seg002,"10152023 - 037 - [FREE] Gunna x Young Thug Type Beat - ""Strapped""",hook,hook,3,60.0,90.0,trap,aggressive|dark,808 bass|trap hi-hats|piano,0.90,central hook,owned,"hook, 94 BPM, G major, aggressive trap beat, 808 bass|trap hi-hats|piano, high energy"
10152023_-_037_-__FREE__Gunna_x_Young_Thug_Type_Beat_-__Strapped_seg003,"10152023 - 037 - [FREE] Gunna x Young Thug Type Beat - ""Strapped""",verse,verse,4,90.0,120.0,trap,aggressive|dark,808 bass|trap hi-hats|piano,0.60,narrative build,owned,"verse, 94 BPM, G major, aggressive trap beat, 808 bass|trap hi-hats|piano, medium energy"
10152023_-_037_-__FREE__Gunna_x_Young_Thug_Type_Beat_-__Strapped_seg004,"10152023 - 037 - [FREE] Gunna x Young Thug Type Beat - ""Strapped""",hook,hook,5,120.0,150.0,trap,aggressive|dark,808 bass|trap hi-hats|piano,0.90,central hook,owned,"hook, 94 BPM, G major, aggressive trap beat, 808 bass|trap hi-hats|piano, high energy"
10152023_-_037_-__FREE__Gunna_x_Young_Thug_Type_Beat_-__Strapped_seg005,"10152023 - 037 - [FREE] Gunna x Young Thug Type Beat - ""Strapped""",outro,outro,6,150.0,180.0,trap,aggressive|dark,808 bass|trap hi-hats|piano,0.25,closing,owned,"outro, 94 BPM, G major, aggressive trap beat, 808 bass|trap hi-hats|piano, low energy"
10152023_-_038_-__FREE__Gunna_Type_Beat_-__Lion_Eyes_seg000,"10152023 - 038 - [FREE] Gunna Type Beat - ""Lion Eyes""",intro,intro,1,0.0,30.0,trap,dark|atmospheric,808 bass|trap hi-hats,0.30,sparse opening,owned,"intro, 156 BPM, D# minor, dark trap beat, 808 bass|trap hi-hats, low energy"
10152023_-_038_-__FREE__Gunna_Type_Beat_-__Lion_Eyes_seg001,"10152023 - 038 - [FREE] Gunna Type Beat - ""Lion Eyes""",verse,verse,2,30.0,60.0,trap,dark|atmospheric,808 bass|trap hi-hats,0.60,narrative build,owned,"verse, 156 BPM, D# minor, dark trap beat, 808 bass|trap hi-hats, medium energy"
10152023_-_038_-__FREE__Gunna_Type_Beat_-__Lion_Eyes_seg002,"10152023 - 038 - [FREE] Gunna Type Beat - ""Lion Eyes""",hook,hook,3,60.0,90.0,trap,dark|atmospheric,808 bass|trap hi-hats,0.90,central hook,owned,"hook, 156 BPM, D# minor, dark trap beat, 808 bass|trap hi-hats, high energy"
10152023_-_038_-__FREE__Gunna_Type_Beat_-__Lion_Eyes_seg003,"10152023 - 038 - [FREE] Gunna Type Beat - ""Lion Eyes""",verse,verse,4,90.0,120.0,trap,dark|atmospheric,808 bass|trap hi-hats,0.60,narrative build,owned,"verse, 156 BPM, D# minor, dark trap beat, 808 bass|trap hi-hats, medium energy"
10152023_-_038_-__FREE__Gunna_Type_Beat_-__Lion_Eyes_seg004,"10152023 - 038 - [FREE] Gunna Type Beat - ""Lion Eyes""",hook,hook,5,120.0,150.0,trap,dark|atmospheric,808 bass|trap hi-hats,0.90,central hook,owned,"hook, 156 BPM, D# minor, dark trap beat, 808 bass|trap hi-hats, high energy"
10152023_-_038_-__FREE__Gunna_Type_Beat_-__Lion_Eyes_seg005,"10152023 - 038 - [FREE] Gunna Type Beat - ""Lion Eyes""",outro,outro,6,150.0,180.0,trap,dark|atmospheric,808 bass|trap hi-hats,0.25,closing,owned,"outro, 156 BPM, D# minor, dark trap beat, 808 bass|trap hi-hats, low energy"
10152023_-_039_-__FREE__Kodak_Black_Type_Beat_-__Thanks_To_You_seg000,"10152023 - 039 - (FREE) Kodak Black Type Beat - ""Thanks To You""",intro,intro,1,0.0,30.0,melodic trap,emotional|reflective,808 bass|bells|trap hi-hats,0.30,sparse opening,owned,"intro, 129 BPM, C# major, emotional melodic trap beat, 808 bass|bells|trap hi-hats, low energy"
10152023_-_039_-__FREE__Kodak_Black_Type_Beat_-__Thanks_To_You_seg001,"10152023 - 039 - (FREE) Kodak Black Type Beat - ""Thanks To You""",verse,verse,2,30.0,60.0,melodic trap,emotional|reflective,808 bass|bells|trap hi-hats,0.60,narrative build,owned,"verse, 129 BPM, C# major, emotional melodic trap beat, 808 bass|bells|trap hi-hats, medium energy"
10152023_-_039_-__FREE__Kodak_Black_Type_Beat_-__Thanks_To_You_seg002,"10152023 - 039 - (FREE) Kodak Black Type Beat - ""Thanks To You""",hook,hook,3,60.0,90.0,melodic trap,emotional|reflective,808 bass|bells|trap hi-hats,0.90,central hook,owned,"hook, 129 BPM, C# major, emotional melodic trap beat, 808 bass|bells|trap hi-hats, high energy"
10152023_-_039_-__FREE__Kodak_Black_Type_Beat_-__Thanks_To_You_seg003,"10152023 - 039 - (FREE) Kodak Black Type Beat - ""Thanks To You""",verse,verse,4,90.0,120.0,melodic trap,emotional|reflective,808 bass|bells|trap hi-hats,0.60,narrative build,owned,"verse, 129 BPM, C# major, emotional melodic trap beat, 808 bass|bells|trap hi-hats, medium energy"
10152023_-_039_-__FREE__Kodak_Black_Type_Beat_-__Thanks_To_You_seg004,"10152023 - 039 - (FREE) Kodak Black Type Beat - ""Thanks To You""",hook,hook,5,120.0,150.0,melodic trap,emotional|reflective,808 bass|bells|trap hi-hats,0.90,central hook,owned,"hook, 129 BPM, C# major, emotional melodic trap beat, 808 bass|bells|trap hi-hats, high energy"
10152023_-_039_-__FREE__Kodak_Black_Type_Beat_-__Thanks_To_You_seg005,"10152023 - 039 - (FREE) Kodak Black Type Beat - ""Thanks To You""",verse,verse,6,150.0,180.0,melodic trap,emotional|reflective,808 bass|bells|trap hi-hats,0.60,narrative build,owned,"verse, 129 BPM, C# major, emotional melodic trap beat, 808 bass|bells|trap hi-hats, medium energy"
10152023_-_039_-__FREE__Kodak_Black_Type_Beat_-__Thanks_To_You_seg006,"10152023 - 039 - (FREE) Kodak Black Type Beat - ""Thanks To You""",bridge,bridge,7,180.0,210.0,melodic trap,emotional|reflective,808 bass|bells|trap hi-hats,0.50,transition,owned,"bridge, 129 BPM, C# major, emotional melodic trap beat, 808 bass|bells|trap hi-hats, medium energy"
10152023_-_039_-__FREE__Kodak_Black_Type_Beat_-__Thanks_To_You_seg007,"10152023 - 039 - (FREE) Kodak Black Type Beat - ""Thanks To You""",outro,outro,8,210.0,240.0,melodic trap,emotional|reflective,808 bass|bells|trap hi-hats,0.25,closing,owned,"outro, 129 BPM, C# major, emotional melodic trap beat, 808 bass|bells|trap hi-hats, low energy"
10152023_-_040_-__FREE__Moneybagg_Yo_Type_beat_x_Key_Glock_Type_Beat__No_hook_seg000,"10152023 - 040 - [FREE] Moneybagg Yo Type beat x Key Glock Type Beat ""'No hook""",intro,intro,1,0.0,30.0,trap,dark|atmospheric,808 bass|trap hi-hats,0.30,sparse opening,owned,"intro, 134 BPM, D# minor, dark trap beat, 808 bass|trap hi-hats, low energy"
10152023_-_040_-__FREE__Moneybagg_Yo_Type_beat_x_Key_Glock_Type_Beat__No_hook_seg001,"10152023 - 040 - [FREE] Moneybagg Yo Type beat x Key Glock Type Beat ""'No hook""",verse,verse,2,30.0,60.0,trap,dark|atmospheric,808 bass|trap hi-hats,0.60,narrative build,owned,"verse, 134 BPM, D# minor, dark trap beat, 808 bass|trap hi-hats, medium energy"
10152023_-_040_-__FREE__Moneybagg_Yo_Type_beat_x_Key_Glock_Type_Beat__No_hook_seg002,"10152023 - 040 - [FREE] Moneybagg Yo Type beat x Key Glock Type Beat ""'No hook""",hook,hook,3,60.0,90.0,trap,dark|atmospheric,808 bass|trap hi-hats,0.90,central hook,owned,"hook, 134 BPM, D# minor, dark trap beat, 808 bass|trap hi-hats, high energy"
10152023_-_040_-__FREE__Moneybagg_Yo_Type_beat_x_Key_Glock_Type_Beat__No_hook_seg003,"10152023 - 040 - [FREE] Moneybagg Yo Type beat x Key Glock Type Beat ""'No hook""",verse,verse,4,90.0,120.0,trap,dark|atmospheric,808 bass|trap hi-hats,0.60,narrative build,owned,"verse, 134 BPM, D# minor, dark trap beat, 808 bass|trap hi-hats, medium energy"
10152023_-_040_-__FREE__Moneybagg_Yo_Type_beat_x_Key_Glock_Type_Beat__No_hook_seg004,"10152023 - 040 - [FREE] Moneybagg Yo Type beat x Key Glock Type Beat ""'No hook""",hook,hook,5,120.0,150.0,trap,dark|atmospheric,808 bass|trap hi-hats,0.90,central hook,owned,"hook, 134 BPM, D# minor, dark trap beat, 808 bass|trap hi-hats, high energy"
10152023_-_040_-__FREE__Moneybagg_Yo_Type_beat_x_Key_Glock_Type_Beat__No_hook_seg005,"10152023 - 040 - [FREE] Moneybagg Yo Type beat x Key Glock Type Beat ""'No hook""",verse,verse,6,150.0,180.0,trap,dark|atmospheric,808 bass|trap hi-hats,0.60,narrative build,owned,"verse, 134 BPM, D# minor, dark trap beat, 808 bass|trap hi-hats, medium energy"
10152023_-_040_-__FREE__Moneybagg_Yo_Type_beat_x_Key_Glock_Type_Beat__No_hook_seg006,"10152023 - 040 - [FREE] Moneybagg Yo Type beat x Key Glock Type Beat ""'No hook""",bridge,bridge,7,180.0,210.0,trap,dark|atmospheric,808 bass|trap hi-hats,0.50,transition,owned,"bridge, 134 BPM, D# minor, dark trap beat, 808 bass|trap hi-hats, medium energy"
10152023_-_040_-__FREE__Moneybagg_Yo_Type_beat_x_Key_Glock_Type_Beat__No_hook_seg007,"10152023 - 040 - [FREE] Moneybagg Yo Type beat x Key Glock Type Beat ""'No hook""",outro,outro,8,210.0,240.0,trap,dark|atmospheric,808 bass|trap hi-hats,0.25,closing,owned,"outro, 134 BPM, D# minor, dark trap beat, 808 bass|trap hi-hats, low energy"
10152023_-_041_-__FREE__Gunna_Type_Beat_2023_-__go_crazy____Guitar_Type_Beat_seg000,"10152023 - 041 - [FREE] Gunna Type Beat 2023 - ""go crazy"" | Guitar Type Beat",intro,intro,1,0.0,30.0,trap,dark|atmospheric,808 bass|trap hi-hats,0.30,sparse opening,owned,"intro, 134 BPM, C minor, dark trap beat, 808 bass|trap hi-hats, low energy"
10152023_-_041_-__FREE__Gunna_Type_Beat_2023_-__go_crazy____Guitar_Type_Beat_seg001,"10152023 - 041 - [FREE] Gunna Type Beat 2023 - ""go crazy"" | Guitar Type Beat",verse,verse,2,30.0,60.0,trap,dark|atmospheric,808 bass|trap hi-hats,0.60,narrative build,owned,"verse, 134 BPM, C minor, dark trap beat, 808 bass|trap hi-hats, medium energy"
